title|admin_title|category|field_page_description|field_page_video|field_page_banner|field_page_title
Influ page header|Page header|Influ page header|<p>Template page</p>|||Influ page header
Misnistry page|Ministry Page Header|Influ page header|<p>Donec id elit non mi porta gravida at eget metus. Donec id elit non mi porta gravida at eget metus. Cras mattis consectetur purus sit amet fermentum. Praesent commodo cursus magna, vel scelerisque nisl consectetur et. Curabitur blandit tempus porttitor. Maecenas faucibus mollis interdum.<br />Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Nulla vitae elit libero, a pharetra augue. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Duis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Nulla vitae elit libero, a pharetra augue. Integer posuere erat a ante venenatis dapibus posuere velit aliquet.</p>||devotion_banner.png|[Campus name] Church life
Misnistry page|Ministry Page Header|Influ page header|<p>Donec id elit non mi porta gravida at eget metus. Donec id elit non mi porta gravida at eget metus. Cras mattis consectetur purus sit amet fermentum. Praesent commodo cursus magna, vel scelerisque nisl consectetur et. Curabitur blandit tempus porttitor. Maecenas faucibus mollis interdum.<br />Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Nulla vitae elit libero, a pharetra augue. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Duis mollis, est non commodo luctus, nisi erat porttitor ligula, eget lacinia odio sem nec elit. Nulla vitae elit libero, a pharetra augue. Integer posuere erat a ante venenatis dapibus posuere velit aliquet.</p>||devotion_banner.png|[Campus name] Church life
Group page|Groups Page Header|Influ page header|<p style="margin-left:2.0pt;">Connect Groups are an important next step in the life of Influencers Church. Connect Groups are a great way for you to get to know other people and build authenc relaonships at the heart of our Church family. Your Connect group leader is passionate about walking with you through the next steps of your walk with God. It&rsquo;s more than just another meeng, it is doing life together and acvang the call to Influence that&rsquo;s inside of you.</p>|20NKpPTvSBg|devotion_banner_2.png|Groups
Group page|Groups Page Header|Influ page header|<p style="margin-left:2.0pt;">Connect Groups are an important next step in the life of Influencers Church. Connect Groups are a great way for you to get to know other people and build authenc relaonships at the heart of our Church family. Your Connect group leader is passionate about walking with you through the next steps of your walk with God. It&rsquo;s more than just another meeng, it is doing life together and acvang the call to Influence that&rsquo;s inside of you.</p>|20NKpPTvSBg|devotion_banner_2.png|Groups
Group page|Groups Page Header|Influ page header|<p style="margin-left:2.0pt;">Connect Groups are an important next step in the life of Influencers Church. Connect Groups are a great way for you to get to know other people and build authenc relaonships at the heart of our Church family. Your Connect group leader is passionate about walking with you through the next steps of your walk with God. It&rsquo;s more than just another meeng, it is doing life together and acvang the call to Influence that&rsquo;s inside of you.</p>|20NKpPTvSBg|devotion_banner_2.png|Groups
Concierge Page|Concierge Page Header|Influ page header|Our vision for this ministry is to use every conduit available to present hope to people in need, to make a difference in the lives of those we touch with the transforming power of the Gospel. To reach the disconnected, and to encourage, teach, inspire and empower people to live a life full of confidence and destiny.</div><div>We are constantly amazed at testimonies from people who have had their first encounter with the message of Jesus through our TV programs and podcasts, which go into millions of homes all over the world each week.</div><div>By partnering with us in this in this ministry, you are making a real difference to people&rsquo;s lives and making a difference in eternity.</div><div>Through your faithful and consistent support, you become an expression of God&rsquo;s heart to people without hope.|20NKpPTvSBg|devotion_banner_3.png|Concierge
Events Page|Events Page Header|Influ page header|||devotion_banner_4.png|[Campus name] Events
Team Page|Team Page Header|Influ page header|||team-banner.png|Global Leadership Team
I'm new page|I'm new Page Header|Influ page header|ParadiseTV with Pastors Ashley and Jane Evans is a half-hour Christian television program featuring teaching from Pastors Ashley and Jane, and it is filmed across Paradise Church&#39;s weekend services and also features worship by the Paradise Band. Our TV programmes our seen all over the world, seven days a week. We currently produce 2 TV programs, Devotions and Paradise TV that air both in Australia and around the world.|20NKpPTvSBg|devotion_banner_5.png|I'm New
Services Page|Services Page Header|Influ page header|<div class="service_part"><p class="service_time">11:30 am</p><p>Vestibulum id ligula porta felis euismod semper. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Aenean eu leo quam. Pellentesque ornare sem lacinia quam venenatis vestibulum. Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Maecenas faucibus mollis interdum. Aenean eu leo quam. Pellentesque ornare sem lacinia quam venenatis vestibulum.<br />Donec ullamcorper nulla non metus auctor fringilla. Maecenas sed diam eget risus varius blandit sit amet non magna. Nulla vitae elit libero, a pharetra augue. Maecenas sed diam eget risus varius blandit sit amet non magna. Aenean lacinia bibendum nulla sed consectetur. Nullam quis risus eget urna mollis ornare vel eu leo.</p></div><div class="service_part"><p class="service_time">5:00 pm</p><p>Vestibulum id ligula porta felis euismod semper. Curabitur blandit tempus porttitor. Nullam quis risus eget urna mollis ornare vel eu leo. Aenean eu leo quam. Pellentesque ornare sem lacinia quam venenatis vestibulum. Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Maecenas faucibus mollis interdum. Aenean eu leo quam. Pellentesque ornare sem lacinia quam venenatis vestibulum.<br />Donec ullamcorper nulla non metus auctor fringilla. Maecenas sed diam eget risus varius blandit sit amet non magna. Nulla vitae elit libero, a pharetra augue. Maecenas sed diam eget risus varius blandit sit amet non magna. Aenean lacinia bibendum nulla sed consectetur. Nullam quis risus eget urna mollis ornare vel eu leo.</p></div>|20NKpPTvSBg|services_banner.png|Services
Be an Influencer Page|Be an Influencer Page Header|Influ page header|<p>There are plenty of opportunities for ministry and fellowship with our Seniors! There&rsquo;s a special Seniors&rsquo; Service in the Paradise Central Youth Hall every Sunday at 3.30pm, and once a fortnight we also have afternoon tea together.&nbsp; We also meet together once a month for ministry and fellowship. There are also fortnightly Life Groups, including some centred around Bible Studies and several times a year we get out and about on bus and picnic outings.</p>|20NKpPTvSBg|services_banner_2.png|Be an Influencer
Podcasts Page|Podcasts Page Header|Influ page header|<div class="panel-pane pane-custom pane-1 podcasts_body"><div class="pane-content"><p>The heart and soul of Influencers Church is to introduce and connect people with the living God. We are a church where all individuals and families can grow and flourish in faith and discover God&rsquo;s plan for their lives. We are a local church community of everyday citizens, seeking to embrace our city, and nations with the love, hope and goodness of a compassionate and faithful God.</p><p>We would love you to join us in one of our weekend services, where you will experience the presence of the Holy Spirit as we worship together though music, prayer and an inspiring message. We welcome you and trust that you will be empowered, encouraged, blessed and inspired.</p></div></div><p>&nbsp;</p>|||Podcasts
Give Page|Give Page Header|Influ page header|Everyone goes through tough times, but it&rsquo;s so much harder to do that by yourself. Paradise Community Services is the welfare arm of Paradise Community Church and was created to reach out to those who are isolated or who have less opportunity than the wider community through their circumstances. At PCS, we offer friendship and support to build relationship and resilience, to empower people to make choices for their own lives and future. PCS has a range of programs and services, as well as advocacy and government-recognised training for other service providers. PCS touches the lives of thousands of people each year. Approximately 90,000 meals are distributed annually, with thousands of people also accessing food onsite. 5000 meals are also provided through breakfast club and school lunch programs annually.||services_banner_3.png|Giving
Store Page|Store Page Header|Influ page header|<div class="store_conference"><div class="store_conference_image"><a href="/sites/default/files/store-image.png"><img alt="" src="/sites/default/files/store-image.png" style="width: 300px; height: 287px;" /></a></div><div class="store_conference_title"><a href="/" target="_blank" title="Conference">Conference</a></div></div><div class="store_ash_jane"><div class="store_conference_image"><a href="/sites/default/files/store-image.png"><img alt="" src="/sites/default/files/store-image.png" style="width: 300px; height: 287px;" /></a></div><div class="store_conference_title"><a href="/" target="_blank" title="Ashley &amp; Jane Evans">Ashley &amp; Jane Evans</a></div></div><div class="store_albums"><div class="store_conference_image"><a href="/sites/default/files/store-image.png"><img alt="" src="/sites/default/files/store-image.png" style="width: 300px; height: 287px;" /></a></div><div class="store_conference_title"><a href="/" target="_blank" title="Albums">Albums</a></div></div><p>&nbsp;</p>||services_banner_4.png|Store
Devotions Online Page|Devotions Online Page Header|Influ page header|<p>DevotionsOnline with Ashley and Jane Evans is now on television twice a day! Now you can revolutionise your daily walk with God each morning and evening through the Australian Christian Channel. Tune in to the Australian Christian Channel on Foxtel at 7.00am EST and 11.30pm EST daily, and join thousands around the world, as we start the day around the word of God together!</p><p>DevotionsOnline is also available to download in either video or audio format. The audio version is also listed with our regular podcast messages.</p>|20NKpPTvSBg|services_banner_5.png|Devotions Online
Location Page|Location Page Header|Influ page header|<p><iframe marginheight="0" marginwidth="0" src="https://maps.google.com/maps?f=q&amp;source=s_q&amp;hl=vi&amp;geocode=&amp;q=6400+Sugarloaf+Parkway+Duluth+GA+30097&amp;aq=&amp;sll=37.0625,-95.677068&amp;sspn=34.534108,86.572266&amp;ie=UTF8&amp;hq=&amp;hnear=6400+Sugarloaf+Pkwy,+Duluth,+Gwinnett,+Georgia+30097&amp;t=m&amp;ll=33.993971,-84.092016&amp;spn=0.024551,0.052271&amp;z=14&amp;iwloc=A&amp;output=embed" frameborder="0" height="345" scrolling="no" width="610"></iframe></p><p style="margin-left:2.0pt;"><strong>Atlanta</strong></p><p style="margin-left:2.0pt;">Gwinnett Convention Center</p><p style="margin-left:2.0pt;">6400 Sugarloaf Parkway</p><p style="margin-left:2.0pt;">Duluth GA 30097</p><p style="margin-left:2.0pt;">&nbsp;</p><p style="margin-left:2.0pt;"><strong>Paradise</strong></p><p style="margin-left:2.0pt;">57 Darley Road</p><p style="margin-left:2.0pt;">Paradise SA 5075</p><p style="margin-left:2.0pt;">&nbsp;</p><p style="margin-left:2.0pt;"><strong>Perth</strong></p><p style="margin-left:2.0pt;">Parmelia Hilton</p><p style="margin-left:2.0pt;">14 Mill Street</p><p style="margin-left:2.0pt;">Perth WA 6000</p><p style="margin-left:2.0pt;">&nbsp;</p><p style="margin-left:2.0pt;"><strong>Adelaide City</strong></p><p style="margin-left:2.0pt;">113 Currie Street</p><p style="margin-left:2.0pt;">Adelaide SA 5000</p><p style="margin-left:2.0pt;">&nbsp;</p><p style="margin-left:2.0pt;"><strong>Adelaide North</strong></p><p style="margin-left:2.0pt;">20 Shilabeer Road</p><p style="margin-left:2.0pt;">Elizabeth Park SA 5113</p>||services_banner_6.png|Location
Influencer Live Page|Influencer Live Page Header|Influ page header||20NKpPTvSBg|services_banner_7.png|Influencer Live
College Page|College Page Header|College Page Header|<p>There are plenty of opportunities for ministry and fellowship with our Seniors! There&rsquo;s a special Seniors&rsquo; Service in the Paradise Central Youth Hall every Sunday at 3.30pm, and once a fortnight we also have afternoon tea together.&nbsp; We also meet together once a month for ministry and fellowship.</p><p>There are also fortnightly Life Groups, including some centred around Bible Studies and several times a year we get out and about on bus and picnic outings.</p>||store_banner.png|College
Vision Page|Vision Page Header|Influ page header|<p>Our vision is simply this, to Influence the hearts of people towards greater connection with GOD, using the generous resource of God&rsquo;s love in the context of God&rsquo;s family, the local church.</p><p>The heart &amp; call of an Influencer is local, and global; together yet Individual &amp; at the same time, passionately consumed by the desire to serve &amp; love others. Prayer &amp; Fasting is the driving force behind everything we do &amp; this only further fuels the insatiable urge inside of us to make a real difference in our world; a difference that we can only make together.</p><p>The tangible reality of this can be seen as we sell out to the equipping &amp; empowering of people to lead and influence in the places that God has called us to.</p><p style="margin-left:2.0pt;">God has called His Church to be a city on a hill, a light in the darkness, with the answer to the hurt and pain of this world on our lips. He has charged us with taking the good news of the Gospel of Jesus Christ to the world. This is no regular call, it is a commission, it is the good fight spoken of by Paul, and the &lsquo;cause&rsquo; that many have laid their lives down for. It is the very heartbeat of God.</p><p style="margin-left:2.0pt;">We are committed to making fully devoted followers of Christ, who understand the why behind the what, that are fully focused on building God&rsquo;s kingdom and putting Him first in their lives. We understand that everyone is at a different place in their journey, but that everyone has a desire to move forward towards the purpose for which they were created.</p><p style="margin-left:2.0pt;">We believe that to reach this generation, you need to speak their language. The language of this generation is media and so we are committed to engage with media to communicate to &amp; capture the vision and hearts of the generation that will take the baton from us and run further and faster than we ever will.</p>||store_banner_2.png|Vision
